goos: darwin
goarch: arm64
pkg: github.com/bluetape4k/bluetape-go/compression
cpu: Apple M5
BenchmarkCompressorsCompress/text/large/lz4-10              	    5710	    209072 ns/op	3761.54 MB/s	         0.04651 compressed/original	     36579 compressed_bytes	   42364 B/op	       6 allocs/op
BenchmarkCompressorsCompress/text/large/snappy-10           	    7202	    165115 ns/op	4762.94 MB/s	         0.07870 compressed/original	     61890 compressed_bytes	  333072 B/op	       9 allocs/op
BenchmarkCompressorsCompress/binary/small/gzip-10           	   24891	     47823 ns/op	  21.41 MB/s	         0.6221 compressed/original	       637.0 compressed_bytes	  815760 B/op	      22 allocs/op
BenchmarkCompressorsCompress/binary/small/zlib-10           	   24643	     48055 ns/op	  21.31 MB/s	         0.6104 compressed/original	       625.0 compressed_bytes	  815718 B/op	      24 allocs/op
BenchmarkCompressorsCompress/binary/small/deflate-10        	   25347	     47056 ns/op	  21.76 MB/s	         0.6045 compressed/original	       619.0 compressed_bytes	  815489 B/op	      20 allocs/op
BenchmarkCompressorsCompress/binary/small/zstd-10           	   16932	     71333 ns/op	  14.36 MB/s	         0.6660 compressed/original	       682.0 compressed_bytes	 2347125 B/op	      49 allocs/op
BenchmarkCompressorsCompress/binary/small/lz4-10            	  821919	      1427 ns/op	 717.70 MB/s	         0.8193 compressed/original	       839.0 compressed_bytes	    1513 B/op	       6 allocs/op
BenchmarkCompressorsCompress/binary/small/snappy-10         	  194558	      6314 ns/op	 162.18 MB/s	         0.7920 compressed/original	       811.0 compressed_bytes	  148496 B/op	       5 allocs/op
BenchmarkCompressorsCompress/binary/medium/gzip-10          	    4340	    271588 ns/op	 180.98 MB/s	         0.1055 compressed/original	      5186 compressed_bytes	  830097 B/op	      25 allocs/op
BenchmarkCompressorsCompress/binary/medium/zlib-10          	    4320	    279884 ns/op	 175.62 MB/s	         0.1053 compressed/original	      5174 compressed_bytes	  830054 B/op	      27 allocs/op
BenchmarkCompressorsCompress/binary/medium/deflate-10       	    4500	    267407 ns/op	 183.81 MB/s	         0.1051 compressed/original	      5168 compressed_bytes	  829825 B/op	      23 allocs/op
BenchmarkCompressorsCompress/binary/medium/zstd-10          	    7660	    138034 ns/op	 356.09 MB/s	         0.1003 compressed/original	      4932 compressed_bytes	 2403957 B/op	      49 allocs/op
BenchmarkCompressorsCompress/binary/medium/lz4-10           	   32062	     37373 ns/op	1315.17 MB/s	         0.2249 compressed/original	     11055 compressed_bytes	   13082 B/op	       6 allocs/op
BenchmarkCompressorsCompress/binary/medium/snappy-10        	   35541	     33841 ns/op	1452.45 MB/s	         0.2168 compressed/original	     10656 compressed_bytes	  158480 B/op	       5 allocs/op
BenchmarkCompressorsCompress/binary/large/gzip-10           	     416	   2873618 ns/op	 273.67 MB/s	         0.07379 compressed/original	     58027 compressed_bytes	  944784 B/op	      28 allocs/op
BenchmarkCompressorsCompress/binary/large/zlib-10           	     403	   2989100 ns/op	 263.10 MB/s	         0.07377 compressed/original	     58015 compressed_bytes	  944743 B/op	      30 allocs/op
BenchmarkCompressorsCompress/binary/large/deflate-10        	     428	   2785187 ns/op	 282.36 MB/s	         0.07376 compressed/original	     58009 compressed_bytes	  944513 B/op	      26 allocs/op
BenchmarkCompressorsCompress/binary/large/zstd-10           	    1887	    597959 ns/op	1315.19 MB/s	         0.01992 compressed/original	     15666 compressed_bytes	19546314 B/op	      86 allocs/op
BenchmarkCompressorsCompress/binary/large/lz4-10            	    2332	    492951 ns/op	1595.36 MB/s	         0.1501 compressed/original	    118079 compressed_bytes	  126181 B/op	       6 allocs/op
BenchmarkCompressorsCompress/binary/large/snappy-10         	    2445	    459318 ns/op	1712.17 MB/s	         0.2065 compressed/original	    162368 compressed_bytes	  592016 B/op	       9 allocs/op
BenchmarkCompressorsCompress/random/small/gzip-10           	   26527	     46122 ns/op	  22.20 MB/s	         1.027 compressed/original	      1052 compressed_bytes	  815120 B/op	      20 allocs/op
BenchmarkCompressorsCompress/random/small/zlib-10           	   25533	     46560 ns/op	  21.99 MB/s	         1.016 compressed/original	      1040 compressed_bytes	  815078 B/op	      22 allocs/op
BenchmarkCompressorsCompress/random/small/deflate-10        	   25896	     45828 ns/op	  22.34 MB/s	         1.010 compressed/original	      1034 compressed_bytes	  814961 B/op	      19 allocs/op
BenchmarkCompressorsCompress/random/small/zstd-10           	   20880	     58058 ns/op	  17.64 MB/s	         1.015 compressed/original	      1039 compressed_bytes	 2329108 B/op	      31 allocs/op
