goos: darwin
goarch: arm64
pkg: github.com/bluetape4k/bluetape-go/id
cpu: Apple M4 Pro
BenchmarkKSUIDMillisNextString-12            	 3831460	       310.4 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextString-12            	 3885308	       309.0 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextString-12            	 3892593	       308.4 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextString-12            	 3894423	       308.9 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextString-12            	 3874665	       310.2 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextString-12            	 3841399	       311.4 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextString-12            	 3858192	       310.0 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextString-12            	 3874706	       309.9 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextStringParallel-12    	 2008524	       600.6 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextStringParallel-12    	 1995637	       610.1 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextStringParallel-12    	 1998223	       599.1 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextStringParallel-12    	 2009595	       600.5 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextStringParallel-12    	 1987908	       612.2 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextStringParallel-12    	 1991946	       606.4 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextStringParallel-12    	 1982126	       606.0 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextStringParallel-12    	 1999658	       601.3 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextStringParallel-12    	 1983546	       602.4 ns/op	      56 B/op	       2 allocs/op
BenchmarkKSUIDMillisNextStringParallel-12    	 1987851	       601.5 ns/op	      56 B/op	       2 allocs/op
PASS
ok  	github.com/bluetape4k/bluetape-go/id	114.150s
