goos: darwin
goarch: arm64
pkg: github.com/bluetape4k/bluetape-go/id
cpu: Apple M4 Pro
BenchmarkUUIDV7NewStringParallel-12          	 2121135	       568.0 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV7NewStringParallel-12          	 2143466	       561.9 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV7ReuseGenerator-12             	 4649462	       256.5 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGenerator-12             	 4699312	       255.1 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGenerator-12             	 4696954	       255.8 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGenerator-12             	 4709506	       255.2 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGenerator-12             	 4706041	       255.5 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGenerator-12             	 4656752	       255.7 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGenerator-12             	 4706502	       255.4 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGenerator-12             	 4719030	       254.0 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGenerator-12             	 4665637	       261.2 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGenerator-12             	 4710595	       256.0 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGeneratorParallel-12     	 3426237	       343.6 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGeneratorParallel-12     	 3508408	       343.8 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGeneratorParallel-12     	 3478813	       342.2 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGeneratorParallel-12     	 3482406	       343.5 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGeneratorParallel-12     	 3504738	       341.8 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGeneratorParallel-12     	 3499285	       344.0 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGeneratorParallel-12     	 3473520	       345.7 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGeneratorParallel-12     	 3483289	       342.4 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGeneratorParallel-12     	 3492903	       342.1 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGeneratorParallel-12     	 3517299	       343.6 ns/op	      64 B/op	       2 allocs/op
BenchmarkULIDRandom-12                       	11304415	       104.7 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandom-12                       	11522317	       104.2 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandom-12                       	11501968	       104.4 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandom-12                       	11508274	       104.6 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandom-12                       	11525697	       104.4 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandom-12                       	11507107	       104.5 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandom-12                       	11500926	       104.5 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandom-12                       	11499998	       104.5 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandom-12                       	11448969	       104.5 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandom-12                       	11400693	       104.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandomParallel-12               	 4327923	       277.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandomParallel-12               	 4370382	       281.4 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandomParallel-12               	 4285862	       278.8 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandomParallel-12               	 4321284	       283.0 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandomParallel-12               	 4130484	       277.4 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandomParallel-12               	 4255722	       281.0 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandomParallel-12               	 4246009	       276.5 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandomParallel-12               	 4333446	       276.8 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandomParallel-12               	 4235594	       278.2 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandomParallel-12               	 4318359	       279.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonic-12                    	17881123	        66.08 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonic-12                    	18222795	        65.75 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonic-12                    	18224641	        65.78 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonic-12                    	18310546	        66.12 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonic-12                    	18191854	        65.72 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonic-12                    	18244579	        65.76 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonic-12                    	18268570	        65.82 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonic-12                    	18300958	        65.98 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonic-12                    	18167664	        65.93 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonic-12                    	18312828	        65.75 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonicParallel-12            	 6569638	       182.0 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonicParallel-12            	 6612184	       181.6 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonicParallel-12            	 6583728	       181.4 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonicParallel-12            	 6640496	       181.7 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonicParallel-12            	 6670548	       179.7 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonicParallel-12            	 6639783	       182.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonicParallel-12            	 6624940	       180.9 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonicParallel-12            	 6598918	       182.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonicParallel-12            	 6629970	       181.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonicParallel-12            	 6626024	       179.0 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextString-12                  	 2974710	       395.7 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextString-12                  	 3059212	       394.2 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextString-12                  	 3054631	       392.4 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextString-12                  	 3051675	       393.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextString-12                  	 3055849	       392.9 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextString-12                  	 3059650	       393.2 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextString-12                  	 3055744	       393.1 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextString-12                  	 3057084	       393.0 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextString-12                  	 3056328	       392.8 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextString-12                  	 3064554	       393.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextStringParallel-12          	 1798536	       665.2 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextStringParallel-12          	 1792201	       673.2 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextStringParallel-12          	 1794654	       655.5 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextStringParallel-12          	 1805492	       669.9 ns/op	      48 B/op	       2 allocs/op
