goos: darwin
goarch: arm64
pkg: github.com/bluetape4k/bluetape-go/id
cpu: Apple M4 Pro
BenchmarkUUIDV7NewStringParallel-12          	 6276343	       192.3 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV7NewStringParallel-12          	 6269487	       191.7 ns/op	     112 B/op	       3 allocs/op
BenchmarkUUIDV7ReuseGenerator-12             	15777553	        74.15 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGenerator-12             	16085611	        73.90 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGenerator-12             	16112167	        74.03 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGenerator-12             	16269825	        73.95 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGenerator-12             	16261530	        74.28 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGenerator-12             	16258472	        73.89 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGenerator-12             	16303830	        74.19 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGenerator-12             	16178311	        73.89 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGenerator-12             	16292569	        73.95 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGenerator-12             	16313324	        73.79 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGeneratorParallel-12     	 5788204	       203.1 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGeneratorParallel-12     	 5960217	       203.9 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGeneratorParallel-12     	 5954296	       200.6 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGeneratorParallel-12     	 5948697	       202.4 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGeneratorParallel-12     	 5954347	       205.2 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGeneratorParallel-12     	 5815251	       203.1 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGeneratorParallel-12     	 5947503	       203.1 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGeneratorParallel-12     	 5920473	       199.9 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGeneratorParallel-12     	 6009483	       201.9 ns/op	      64 B/op	       2 allocs/op
BenchmarkUUIDV7ReuseGeneratorParallel-12     	 5962651	       202.1 ns/op	      64 B/op	       2 allocs/op
BenchmarkULIDRandom-12                       	18635890	        63.48 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandom-12                       	18944588	        63.40 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandom-12                       	18997598	        63.12 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandom-12                       	18940813	        63.06 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandom-12                       	19003527	        63.48 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandom-12                       	19027609	        63.05 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandom-12                       	19061448	        63.07 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandom-12                       	19108952	        63.00 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandom-12                       	19079961	        63.23 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandom-12                       	19078014	        63.12 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandomParallel-12               	 7146918	       165.9 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandomParallel-12               	 7137614	       167.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandomParallel-12               	 7257283	       166.1 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandomParallel-12               	 7215958	       166.1 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandomParallel-12               	 7239074	       165.5 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandomParallel-12               	 7272901	       166.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandomParallel-12               	 7268954	       166.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandomParallel-12               	 7246872	       165.9 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandomParallel-12               	 7201306	       165.7 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDRandomParallel-12               	 7197271	       166.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonic-12                    	17799520	        65.37 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonic-12                    	18444748	        65.14 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonic-12                    	18351897	        65.45 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonic-12                    	18447855	        65.19 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonic-12                    	18449770	        65.44 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonic-12                    	17041651	        67.24 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonic-12                    	18452134	        65.19 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonic-12                    	18354014	        65.25 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonic-12                    	18330124	        65.54 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonic-12                    	18516374	        65.15 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonicParallel-12            	 6596617	       179.9 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonicParallel-12            	 6642854	       180.4 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonicParallel-12            	 6678262	       179.8 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonicParallel-12            	 6650355	       180.0 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonicParallel-12            	 6695881	       180.7 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonicParallel-12            	 6647271	       179.7 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonicParallel-12            	 6620944	       180.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonicParallel-12            	 6697791	       180.4 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonicParallel-12            	 6584649	       179.4 ns/op	      48 B/op	       2 allocs/op
BenchmarkULIDMonotonicParallel-12            	 6692131	       180.5 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextString-12                  	 5435001	       218.6 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextString-12                  	 5507296	       217.9 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextString-12                  	 5507709	       217.9 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextString-12                  	 5513175	       218.0 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextString-12                  	 5505384	       218.4 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextString-12                  	 5510590	       217.7 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextString-12                  	 5515272	       217.7 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextString-12                  	 5518878	       217.4 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextString-12                  	 5532769	       218.4 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextString-12                  	 5532662	       217.5 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextStringParallel-12          	 4839513	       244.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextStringParallel-12          	 4917900	       244.3 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextStringParallel-12          	 4936473	       248.5 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextStringParallel-12          	 4899290	       243.9 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextStringParallel-12          	 4925294	       245.0 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextStringParallel-12          	 4905604	       244.4 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextStringParallel-12          	 4909502	       243.9 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextStringParallel-12          	 4936282	       244.0 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextStringParallel-12          	 4947584	       243.8 ns/op	      48 B/op	       2 allocs/op
BenchmarkKSUIDNextStringParallel-12          	 4944074	       244.1 ns/op	      48 B/op	       2 allocs/op
