timestamp_utc: 2026-08-16T02:25:06Z
git_sha: 3e14c7e0ad027c7d0187e7a0524f0a5db976e126
dirty_tree: false
capture_eligibility: eligible
no_regression: N/A
gin_version: v1.12.0
fixture_identity: gin-v1.12.0-parser-only-local
go_version: go version go1.26.6 darwin/arm64
goos: darwin
goarch: arm64
cpu: 1,2,4
logical_cpus: 10
benchmark_count: 5
max_output_bytes: 10485760
command: go test -timeout=10m -run \^\$ -bench \^BenchmarkGinAdapter -benchmem -count=5 -cpu=1\,2\,4 ./web/gin
output_begin
goos: darwin
goarch: arm64
pkg: github.com/bluetape4k/bluetape-go/web/gin
cpu: Apple M5
BenchmarkGinAdapter/DirectCore/Parallel-2         	 1000000	      1012 ns/op	    5840 B/op	      18 allocs/op
BenchmarkGinAdapter/DirectCore/Parallel-2         	 1000000	      1004 ns/op	    5840 B/op	      18 allocs/op
BenchmarkGinAdapter/DirectCore/Parallel-2         	 1000000	      1013 ns/op	    5840 B/op	      18 allocs/op
BenchmarkGinAdapter/DirectCore/Parallel-2         	  851906	      1182 ns/op	    5840 B/op	      18 allocs/op
BenchmarkGinAdapter/DirectCore/Parallel-2         	  964111	      1041 ns/op	    5840 B/op	      18 allocs/op
BenchmarkGinAdapter/DirectCore/Parallel-4         	 1331880	       904.7 ns/op	    5841 B/op	      18 allocs/op
BenchmarkGinAdapter/DirectCore/Parallel-4         	 1321075	       905.6 ns/op	    5841 B/op	      18 allocs/op
BenchmarkGinAdapter/DirectCore/Parallel-4         	 1336276	       899.7 ns/op	    5841 B/op	      18 allocs/op
BenchmarkGinAdapter/DirectCore/Parallel-4         	 1326573	       906.1 ns/op	    5841 B/op	      18 allocs/op
BenchmarkGinAdapter/DirectCore/Parallel-4         	 1334485	       901.5 ns/op	    5841 B/op	      18 allocs/op
BenchmarkGinAdapter/Bridge/Serial                 	  975517	      1203 ns/op	    5840 B/op	      18 allocs/op
BenchmarkGinAdapter/Bridge/Serial                 	 1000000	      1206 ns/op	    5840 B/op	      18 allocs/op
BenchmarkGinAdapter/Bridge/Serial                 	 1000000	      1219 ns/op	    5840 B/op	      18 allocs/op
