command_label: cache-local
command: go test -timeout=10m -run \^\$ -bench \^BenchmarkProviderCacheLocal\$ -benchmem -count=5 ./cache
timestamp_utc: 2026-07-20T17:55:00Z
git_sha: 1f1069f4b119957d96158c969f819d6374f902c8
pre_run_clean: true
max_output_bytes: 16777216
output_begin
goos: darwin
goarch: arm64
pkg: github.com/bluetape4k/bluetape-go/cache
cpu: Apple M5
BenchmarkProviderCacheLocal/SerializationBaseline/Marshal/4KiB-10    	  696092	      1726 ns/op	    6149 B/op	       1 allocs/op
BenchmarkProviderCacheLocal/SerializationBaseline/Marshal/4KiB-10    	  697152	      1730 ns/op	    6149 B/op	       1 allocs/op
BenchmarkProviderCacheLocal/SerializationBaseline/Marshal/4KiB-10    	  696368	      1722 ns/op	    6150 B/op	       1 allocs/op
BenchmarkProviderCacheLocal/SerializationBaseline/Unmarshal/128B-10  	 1526946	       758.2 ns/op	     432 B/op	       8 allocs/op
BenchmarkProviderCacheLocal/SerializationBaseline/Unmarshal/128B-10  	 1552296	       767.2 ns/op	     432 B/op	       8 allocs/op
BenchmarkProviderCacheLocal/SerializationBaseline/Unmarshal/128B-10  	 1572132	       769.5 ns/op	     432 B/op	       8 allocs/op
BenchmarkProviderCacheLocal/SerializationBaseline/Unmarshal/128B-10  	 1537539	       764.0 ns/op	     432 B/op	       8 allocs/op
BenchmarkProviderCacheLocal/SerializationBaseline/Unmarshal/128B-10  	 1594269	       765.5 ns/op	     432 B/op	       8 allocs/op
BenchmarkProviderCacheLocal/SerializationBaseline/Unmarshal/4KiB-10  	   86521	     13880 ns/op	    5152 B/op	       8 allocs/op
BenchmarkProviderCacheLocal/SerializationBaseline/Unmarshal/4KiB-10  	   87075	     13493 ns/op	    5152 B/op	       8 allocs/op
BenchmarkProviderCacheLocal/SerializationBaseline/Unmarshal/4KiB-10  	   87583	     13745 ns/op	    5152 B/op	       8 allocs/op
BenchmarkProviderCacheLocal/SerializationBaseline/Unmarshal/4KiB-10  	   86563	     13821 ns/op	    5152 B/op	       8 allocs/op
BenchmarkProviderCacheLocal/SerializationBaseline/Unmarshal/4KiB-10  	   84069	     14156 ns/op	    5152 B/op	       8 allocs/op
PASS
ok  	github.com/bluetape4k/bluetape-go/cache	88.051s
output_end
exit_status: 0
